epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4026,3.04743,0.61984,1.65713,0.13688,0.35418,0.10313,0.02793,3.16858,0.59408,1.73691,0.000165972,0.000165972,0.0669715
2,85.1548,2.94552,0.56345,1.62224,0.14531,0.33289,0.11177,0.02966,3.1075,0.57804,1.73575,0.000332603,0.000332603,0.0338048
3,119.329,2.947,0.55399,1.61379,0.12188,0.37387,0.12219,0.03244,3.07771,0.57912,1.70594,0.000499089,0.000499089,0.000637978
4,153.11,2.89535,0.56317,1.60356,0.17655,0.30654,0.13291,0.03485,3.08144,0.5772,1.69948,0.000499512,0.000499512,0.000499512
5,187.286,2.88945,0.56926,1.60552,0.12894,0.32791,0.1149,0.03054,3.04851,0.59203,1.66978,0.000499132,0.000499132,0.000499132
6,221.685,2.90809,0.56803,1.62434,0.15511,0.30036,0.12536,0.03239,3.06267,0.57742,1.69564,0.000498644,0.000498644,0.000498644
7,256.438,2.88238,0.55938,1.58928,0.14065,0.33819,0.11636,0.0319,3.02975,0.57467,1.67269,0.000498048,0.000498048,0.000498048
8,292.223,2.8872,0.56109,1.6009,0.15993,0.35579,0.13409,0.03551,3.03711,0.59147,1.69462,0.000497345,0.000497345,0.000497345
9,326.72,2.84797,0.56311,1.58626,0.15326,0.36849,0.13477,0.03602,3.02756,0.59445,1.66526,0.000496534,0.000496534,0.000496534
10,360.753,2.8446,0.5741,1.60288,0.1144,0.38418,0.11215,0.03035,3.04235,0.58043,1.69486,0.000495616,0.000495616,0.000495616
11,407.317,2.8736,0.57543,1.59538,0.13135,0.36331,0.12169,0.03282,3.02189,0.60449,1.66498,0.000494592,0.000494592,0.000494592
12,457.32,2.84456,0.57429,1.5687,0.12108,0.3367,0.10224,0.02833,3.00399,0.58793,1.6527,0.000493461,0.000493461,0.000493461
13,508.573,2.83785,0.56332,1.57585,0.13025,0.35795,0.11319,0.0308,3.00429,0.58001,1.67778,0.000492224,0.000492224,0.000492224
14,562.843,2.81862,0.57584,1.58647,0.12899,0.37255,0.11679,0.03202,2.99379,0.57681,1.65094,0.000490883,0.000490883,0.000490883
15,612.752,2.82363,0.55837,1.55559,0.12408,0.37659,0.12175,0.03198,3.05558,0.58141,1.71118,0.000489437,0.000489437,0.000489437
