epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,664.442,2.80555,0.56801,1.5533,0.13268,0.38325,0.1216,0.03244,2.95919,0.59582,1.63696,0.000487886,0.000487886,0.000487886
17,714.268,2.81047,0.56911,1.56764,0.1631,0.36855,0.13999,0.03731,2.96353,0.58315,1.63337,0.000486233,0.000486233,0.000486233
18,765.775,2.78653,0.56479,1.56062,0.13513,0.32475,0.1152,0.03227,2.96185,0.59091,1.6404,0.000484477,0.000484477,0.000484477
19,816.375,2.78723,0.56506,1.55254,0.13533,0.38474,0.13139,0.03535,2.97056,0.59462,1.6509,0.00048262,0.00048262,0.00048262
20,871.653,2.78707,0.5685,1.5518,0.11723,0.41381,0.11485,0.03205,2.99174,0.57975,1.67838,0.000480661,0.000480661,0.000480661
21,921.55,2.77511,0.56737,1.55739,0.14893,0.37028,0.13162,0.03525,3.00463,0.58197,1.6799,0.000478603,0.000478603,0.000478603
22,975.692,2.77777,0.56286,1.54857,0.12423,0.39636,0.11584,0.0323,2.94785,0.56971,1.63816,0.000476445,0.000476445,0.000476445
23,1025.37,2.76125,0.5672,1.55955,0.12478,0.38633,0.11922,0.0322,2.95938,0.59083,1.64131,0.000474189,0.000474189,0.000474189
24,1073.15,2.78152,0.5671,1.55152,0.14271,0.31658,0.12111,0.0328,2.97948,0.58589,1.65929,0.000471835,0.000471835,0.000471835
25,1123.31,2.76403,0.56783,1.56323,0.13724,0.37065,0.12123,0.03356,2.96798,0.6013,1.64645,0.000469386,0.000469386,0.000469386
26,1170.86,2.74899,0.57165,1.54081,0.13368,0.40802,0.13912,0.03744,2.93102,0.57515,1.63945,0.000466841,0.000466841,0.000466841
27,1221.32,2.75453,0.56907,1.54354,0.11846,0.28624,0.1006,0.02874,2.94794,0.58987,1.6434,0.000464203,0.000464203,0.000464203
28,1269.24,2.7512,0.56565,1.54205,0.13998,0.35517,0.11538,0.03066,3.00898,0.61738,1.66044,0.000461471,0.000461471,0.000461471
29,1316.61,2.76351,0.55747,1.537,0.12956,0.40672,0.13338,0.03536,2.95778,0.59327,1.6367,0.000458648,0.000458648,0.000458648
30,1371.65,2.74298,0.56175,1.53689,0.14342,0.37061,0.13677,0.03648,2.99307,0.59925,1.66625,0.000455734,0.000455734,0.000455734
31,1423.95,2.72488,0.56496,1.55005,0.13074,0.33988,0.11594,0.03316,2.97831,0.58506,1.66399,0.000452732,0.000452732,0.000452732
32,1473.88,2.76522,0.56084,1.52811,0.13044,0.34304,0.11129,0.0305,2.95024,0.62111,1.63941,0.000449641,0.000449641,0.000449641
33,1519.55,2.71166,0.56446,1.52237,0.14222,0.34498,0.12225,0.03271,2.96405,0.60169,1.64741,0.000446464,0.000446464,0.000446464
34,1568.48,2.76859,0.56375,1.55102,0.13155,0.35534,0.12466,0.03427,2.98383,0.58247,1.65541,0.000443202,0.000443202,0.000443202
35,1613.6,2.74795,0.55566,1.51866,0.14914,0.34217,0.12242,0.03352,2.92296,0.59662,1.61178,0.000439856,0.000439856,0.000439856
36,1659.1,2.71467,0.57058,1.52622,0.1361,0.36694,0.11872,0.03255,2.96612,0.58752,1.65984,0.000436428,0.000436428,0.000436428
37,1705.02,2.71035,0.57398,1.53767,0.13852,0.37464,0.12091,0.033,2.94558,0.59648,1.64816,0.00043292,0.00043292,0.00043292
