epoch,zaman_sn,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50_95,f1,lr
48,19.9,0.0,0.0,0.0,2.67058,2.23568,1.45708,0.24387,0.30657,0.17256,0.04225,0.271649,0.00077023
49,17.1,0.0,0.0,0.0,2.67278,2.32079,1.46519,0.19995,0.29094,0.1448,0.03665,0.237012,0.00076142
50,18.5,0.0,0.0,0.0,2.65414,2.32926,1.42976,0.237,0.29337,0.1696,0.04124,0.262189,0.0007525
51,16.3,0.0,0.0,0.0,2.65999,2.10144,1.45724,0.2538,0.329,0.183,0.04598,0.286548,0.00074347
52,18.7,0.0,0.0,0.0,2.66336,2.10825,1.43151,0.27731,0.29999,0.18689,0.04527,0.288204,0.00073433
53,16.4,0.0,0.0,0.0,2.66503,2.17357,1.44838,0.23139,0.28989,0.17346,0.04216,0.257357,0.00072509
54,19.2,0.0,0.0,0.0,2.64031,2.14278,1.42986,0.20995,0.3034,0.16485,0.03947,0.248169,0.00071576
55,16.3,0.0,0.0,0.0,2.65327,2.21511,1.4387,0.22935,0.28485,0.15722,0.03869,0.254105,0.00070633
56,19.4,0.0,0.0,0.0,2.63415,2.11965,1.44144,0.21577,0.32754,0.17067,0.04287,0.260158,0.00069682
57,16.4,0.0,0.0,0.0,2.62704,2.07628,1.43346,0.27796,0.33549,0.20747,0.05161,0.304027,0.00068722
58,18.8,0.0,0.0,0.0,2.65838,2.17065,1.43995,0.20793,0.30567,0.16173,0.0398,0.2475,0.00067754
59,15.9,0.0,0.0,0.0,2.6505,2.16222,1.43118,0.19108,0.27199,0.15275,0.03798,0.224466,0.00066779
60,18.5,0.0,0.0,0.0,2.65604,2.37807,1.44219,0.22595,0.25316,0.14403,0.03617,0.238782,0.00065796
61,16.2,0.0,0.0,0.0,2.64397,2.13762,1.43765,0.2473,0.30159,0.1824,0.04606,0.27176,0.00064807
62,18.7,0.0,0.0,0.0,2.62342,2.23317,1.41875,0.23963,0.31905,0.17943,0.04473,0.273695,0.00063812
63,16.1,0.0,0.0,0.0,2.63795,2.10098,1.43524,0.23893,0.32899,0.1858,0.04647,0.276819,0.0006281
64,18.7,0.0,0.0,0.0,2.64906,2.14429,1.44599,0.27237,0.31175,0.20368,0.05125,0.290733,0.00061803
65,16.6,0.0,0.0,0.0,2.67946,2.06575,1.46081,0.28606,0.3392,0.2209,0.05458,0.310372,0.00060792
66,18.5,0.0,0.0,0.0,2.64885,2.22759,1.44094,0.2607,0.30852,0.18408,0.04611,0.282601,0.00059775
67,17.0,0.0,0.0,0.0,2.64587,2.07479,1.4374,0.2961,0.311,0.21004,0.05458,0.303367,0.00058755
68,18.6,0.0,0.0,0.0,2.6425,2.19625,1.43297,0.25596,0.30437,0.18129,0.04561,0.278074,0.00057731
69,16.8,0.0,0.0,0.0,2.62911,2.24598,1.42676,0.25945,0.27572,0.16781,0.04126,0.267338,0.00056704
70,18.5,0.0,0.0,0.0,2.63606,2.07496,1.43648,0.24564,0.31625,0.18515,0.04758,0.276508,0.00055674
71,16.2,0.0,0.0,0.0,2.64581,2.29637,1.43511,0.25257,0.30747,0.17617,0.04419,0.277329,0.00054642
72,18.5,0.0,0.0,0.0,2.62995,2.12185,1.42574,0.25586,0.29092,0.18133,0.04596,0.272266,0.00053608
73,16.7,0.0,0.0,0.0,2.6485,2.12215,1.43867,0.23305,0.32771,0.1784,0.04342,0.27239,0.00052573
74,18.6,0.0,0.0,0.0,2.62478,2.08506,1.42378,0.25123,0.3276,0.20619,0.0514,0.284377,0.00051537
75,16.2,0.0,0.0,0.0,2.62093,2.30045,1.4161,0.2289,0.27805,0.16417,0.0402,0.251092,0.000505
76,18.3,0.0,0.0,0.0,2.67849,2.06669,1.46498,0.26636,0.33144,0.19354,0.04862,0.295358,0.00049463
77,16.4,0.0,0.0,0.0,2.65204,2.15105,1.43476,0.25225,0.31552,0.18344,0.04654,0.28036,0.00048427
78,18.2,0.0,0.0,0.0,2.66299,2.21086,1.44976,0.27932,0.31177,0.19176,0.04837,0.294654,0.00047392
79,16.6,0.0,0.0,0.0,2.64198,2.13105,1.42836,0.24758,0.3227,0.18777,0.04569,0.280192,0.00046358
80,18.5,0.0,0.0,0.0,2.64436,2.22224,1.4293,0.26657,0.30757,0.17916,0.04442,0.285606,0.00045326
80,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.296905,0.309747,0.210091,0.054376,0.30319,0.00045326
