epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.835,2.79352,3.49086,1.94348,0.10106,0.2288,0.05811,0.01369,2.68085,3.25958,1.9743,0.000331944,0.000331944,0.0671375
2,221.948,2.62112,3.01836,1.81798,0.33142,0.20544,0.04871,0.01231,2.6145,3.11069,1.86402,0.000665206,0.000665206,0.0341374
3,300.292,2.59482,2.89174,1.80893,0.08793,0.21743,0.06857,0.01676,2.74483,2.66356,2.0727,0.000998178,0.000998178,0.00113707
4,379.484,2.54469,2.8422,1.80962,0.13667,0.23131,0.08324,0.02101,2.58925,2.76019,1.91223,0.000999023,0.000999023,0.000999023
5,890.625,2.57049,2.79469,1.8099,0.10807,0.25032,0.09737,0.02379,2.56036,2.73084,1.83184,0.000998264,0.000998264,0.000998264
6,969.867,2.5188,2.761,1.78692,0.13685,0.33093,0.09009,0.02277,2.61205,2.55639,1.91635,0.000997288,0.000997288,0.000997288
7,1045.56,2.49899,2.77162,1.76373,0.14094,0.3039,0.09188,0.02425,2.53173,2.54792,1.84263,0.000996097,0.000996097,0.000996097
8,1128.02,2.49478,2.7101,1.77428,0.11411,0.24981,0.08873,0.02298,2.58463,2.5995,1.88178,0.00099469,0.00099469,0.00099469
9,1204,2.50429,2.69018,1.7577,0.19276,0.24592,0.11316,0.02991,2.54664,2.48614,1.86848,0.000993068,0.000993068,0.000993068
