epoch,zaman_sn,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50_95,f1,lr
0,63.2,0.0,0.0,0.0,3.16858,0.59408,1.73691,0.13688,0.35418,0.10313,0.02793,0.197451,0.00016597
1,35.6,0.0,0.0,0.0,3.1075,0.57804,1.73575,0.14531,0.33289,0.11177,0.02966,0.20231,0.0003326
2,34.2,0.0,0.0,0.0,3.07771,0.57912,1.70594,0.12188,0.37387,0.12219,0.03244,0.183832,0.00049909
3,33.8,0.0,0.0,0.0,3.08144,0.5772,1.69948,0.17655,0.30654,0.13291,0.03485,0.224056,0.00049951
4,34.0,0.0,0.0,0.0,3.04851,0.59203,1.66978,0.12894,0.32791,0.1149,0.03054,0.185097,0.00049913
5,34.4,0.0,0.0,0.0,3.06267,0.57742,1.69564,0.15511,0.30036,0.12536,0.03239,0.204575,0.00049864
6,34.8,0.0,0.0,0.0,3.02975,0.57467,1.67269,0.14065,0.33819,0.11636,0.0319,0.198674,0.00049805
7,35.9,0.0,0.0,0.0,3.03711,0.59147,1.69462,0.15993,0.35579,0.13409,0.03551,0.220668,0.00049734
8,34.5,0.0,0.0,0.0,3.02756,0.59445,1.66526,0.15326,0.36849,0.13477,0.03602,0.216482,0.00049653
9,33.9,0.0,0.0,0.0,3.04235,0.58043,1.69486,0.1144,0.38418,0.11215,0.03035,0.176301,0.00049562
10,46.8,0.0,0.0,0.0,3.02189,0.60449,1.66498,0.13135,0.36331,0.12169,0.03282,0.192944,0.00049459
11,50.0,0.0,0.0,0.0,3.00399,0.58793,1.6527,0.12108,0.3367,0.10224,0.02833,0.17811,0.00049346
12,52.2,0.0,0.0,0.0,3.00429,0.58001,1.67778,0.13025,0.35795,0.11319,0.0308,0.191,0.00049222
13,53.3,0.0,0.0,0.0,2.99379,0.57681,1.65094,0.12899,0.37255,0.11679,0.03202,0.191631,0.00049088
14,49.9,0.0,0.0,0.0,3.05558,0.58141,1.71118,0.12408,0.37659,0.12175,0.03198,0.186659,0.00048944
15,51.7,0.0,0.0,0.0,2.95919,0.59582,1.63696,0.13268,0.38325,0.1216,0.03244,0.197118,0.00048789
16,50.0,0.0,0.0,0.0,2.96353,0.58315,1.63337,0.1631,0.36855,0.13999,0.03731,0.226128,0.00048623
17,51.3,0.0,0.0,0.0,2.96185,0.59091,1.6404,0.13513,0.32475,0.1152,0.03227,0.190847,0.00048448
18,50.7,0.0,0.0,0.0,2.97056,0.59462,1.6509,0.13533,0.38474,0.13139,0.03535,0.20023,0.00048262
19,55.2,0.0,0.0,0.0,2.99174,0.57975,1.67838,0.11723,0.41381,0.11485,0.03205,0.182702,0.00048066
20,49.8,0.0,0.0,0.0,3.00463,0.58197,1.6799,0.14893,0.37028,0.13162,0.03525,0.212422,0.0004786
21,54.2,0.0,0.0,0.0,2.94785,0.56971,1.63816,0.12423,0.39636,0.11584,0.0323,0.189169,0.00047644
22,49.6,0.0,0.0,0.0,2.95938,0.59083,1.64131,0.12478,0.38633,0.11922,0.0322,0.188634,0.00047419
23,47.8,0.0,0.0,0.0,2.97948,0.58589,1.65929,0.14271,0.31658,0.12111,0.0328,0.196735,0.00047184
24,50.2,0.0,0.0,0.0,2.96798,0.6013,1.64645,0.13724,0.37065,0.12123,0.03356,0.200311,0.00046939
25,47.7,0.0,0.0,0.0,2.93102,0.57515,1.63945,0.13368,0.40802,0.13912,0.03744,0.201381,0.00046684
26,50.3,0.0,0.0,0.0,2.94794,0.58987,1.6434,0.11846,0.28624,0.1006,0.02874,0.167571,0.0004642
27,48.0,0.0,0.0,0.0,3.00898,0.61738,1.66044,0.13998,0.35517,0.11538,0.03066,0.200815,0.00046147
28,47.4,0.0,0.0,0.0,2.95778,0.59327,1.6367,0.12956,0.40672,0.13338,0.03536,0.196519,0.00045865
29,55.0,0.0,0.0,0.0,2.99307,0.59925,1.66625,0.14342,0.37061,0.13677,0.03648,0.206808,0.00045573
30,52.3,0.0,0.0,0.0,2.97831,0.58506,1.66399,0.13074,0.33988,0.11594,0.03316,0.18884,0.00045273
31,49.8,0.0,0.0,0.0,2.95024,0.62111,1.63941,0.13044,0.34304,0.11129,0.0305,0.18901,0.00044964
32,45.8,0.0,0.0,0.0,2.96405,0.60169,1.64741,0.14222,0.34498,0.12225,0.03271,0.201408,0.00044646
33,48.8,0.0,0.0,0.0,2.98383,0.58247,1.65541,0.13155,0.35534,0.12466,0.03427,0.192015,0.0004432
34,45.2,0.0,0.0,0.0,2.92296,0.59662,1.61178,0.14914,0.34217,0.12242,0.03352,0.207735,0.00043986
35,45.4,0.0,0.0,0.0,2.96612,0.58752,1.65984,0.1361,0.36694,0.11872,0.03255,0.198555,0.00043643
36,45.9,0.0,0.0,0.0,2.94558,0.59648,1.64816,0.13852,0.37464,0.12091,0.033,0.202257,0.00043292
36,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.13451,0.403463,0.139291,0.03768,0.201757,0.00043292
